,Draft_Yr,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP_per_G,PTS_per_G,TRB_per_G,AST_per_G,WS,WS_per_48,BPM
836,2004,DEN,Jameer Nelson,Saint Joseph's University,12.0,753,21481,9006,2299,3944,0,0.368,0.8140000000000001,28.5,12.0,3.1,5.2,44.9,0.1,0.4,13.2
837,2004,UTA,Pavel Podkolzin,,2.0,6,28,4,9,0,0,0.0,0.5,4.7,0.7,1.5,0.0,-0.1,-0.163,-18.8,-0.1
838,2004,NJN,Viktor Khryapa,,4.0,143,2351,643,492,142,0,0.292,0.6579999999999999,16.4,4.5,3.4,1.0,2.0,0.040999999999999995,-1.8,0.1
839,2004,POR,Sergei Monia,,1.0,26,343,77,52,19,0,0.265,0.7140000000000001,13.2,3.0,2.0,0.7,-0.2,-0.025,-5.1,-0.3
840,2004,BOS,Delonte West,Saint Joseph's University,8.0,432,11842,4198,1265,1540,0,0.37200000000000005,0.826,27.4,9.7,2.9,3.6,24.5,0.099,0.5,7.6
841,2004,BOS,Tony Allen,Oklahoma State University,12.0,727,15868,5908,2446,970,0,0.28,0.718,21.8,8.1,3.4,1.3,35.5,0.107,1.2,12.6
842,2004,SAC,Kevin Martin,Western Carolina University,12.0,714,21559,12396,2278,1352,0,0.384,0.87,30.2,17.4,3.2,1.9,61.3,0.13699999999999998,0.1,11.3
843,2004,LAL,Sasha Vujacic,,9.0,539,8500,2970,1034,696,0,0.37,0.866,15.8,5.5,1.9,1.3,15.9,0.09,-1.0,2.2
844,2004,SAS,Beno Udrih,,12.0,792,17625,6725,1655,2727,0,0.349,0.83,22.3,8.5,2.1,3.4,30.1,0.08199999999999999,-1.5,2.1
845,2004,IND,David Harrison,University of Colorado,4.0,189,2686,949,549,47,0,0.0,0.525,14.2,5.0,2.9,0.2,3.2,0.057,-3.4,-1.0
848,2004,ORL,Anderson Varejao,,12.0,613,14959,4543,4484,724,0,0.024,0.63,24.4,7.4,7.3,1.2,46.2,0.14800000000000002,1.5,13.3
